id,name,value,datetime
1293,Demanda real,28447,9/5/2018 0:10
1293,Demanda real,28315,9/5/2018 0:20
1293,Demanda real,27883,9/5/2018 0:30
1293,Demanda real,27882,9/5/2018 0:40
1293,Demanda real,27529,9/5/2018 0:50
1293,Demanda real,27135,9/5/2018 1:00
1293,Demanda real,26962,9/5/2018 1:10
1293,Demanda real,26810,9/5/2018 1:20
1293,Demanda real,26580,9/5/2018 1:30
1293,Demanda real,26332,9/5/2018 1:40
1293,Demanda real,26089,9/5/2018 1:50
1293,Demanda real,25963,9/5/2018 2:00
1293,Demanda real,25960,9/5/2018 2:10
1293,Demanda real,25665,9/5/2018 2:20
1293,Demanda real,25305,9/5/2018 2:30
1293,Demanda real,25350,9/5/2018 2:40
1293,Demanda real,25259,9/5/2018 2:50
1293,Demanda real,25216,9/5/2018 3:00
1293,Demanda real,24978,9/5/2018 3:10
1293,Demanda real,25305,9/5/2018 3:20
1293,Demanda real,25323,9/5/2018 3:30
1293,Demanda real,25212,9/5/2018 3:40
1293,Demanda real,24875,9/5/2018 3:50
1293,Demanda real,24703,9/5/2018 4:00
1293,Demanda real,24767,9/5/2018 4:10
1293,Demanda real,25012,9/5/2018 4:20
1293,Demanda real,24677,9/5/2018 4:30
1293,Demanda real,25071,9/5/2018 4:40
1293,Demanda real,24863,9/5/2018 4:50
1293,Demanda real,24695,9/5/2018 5:00
1293,Demanda real,24915,9/5/2018 5:10
1293,Demanda real,24849,9/5/2018 5:20
1293,Demanda real,24769,9/5/2018 5:30
1293,Demanda real,25065,9/5/2018 5:40
1293,Demanda real,25244,9/5/2018 5:50
1293,Demanda real,25357,9/5/2018 6:00
1293,Demanda real,26130,9/5/2018 6:10
1293,Demanda real,26558,9/5/2018 6:20
1293,Demanda real,27198,9/5/2018 6:30
1293,Demanda real,27179,9/5/2018 6:40
1293,Demanda real,27896,9/5/2018 6:50
1293,Demanda real,28354,9/5/2018 7:00
1293,Demanda real,28888,9/5/2018 7:10
1293,Demanda real,29440,9/5/2018 7:20
1293,Demanda real,29688,9/5/2018 7:30
1293,Demanda real,29968,9/5/2018 7:40
1293,Demanda real,29718,9/5/2018 7:50
1293,Demanda real,29915,9/5/2018 8:00
1293,Demanda real,30510,9/5/2018 8:10
1293,Demanda real,30774,9/5/2018 8:20
1293,Demanda real,31115,9/5/2018 8:30
1293,Demanda real,31519,9/5/2018 8:40
1293,Demanda real,31993,9/5/2018 8:50
1293,Demanda real,32263,9/5/2018 9:00
1293,Demanda real,32439,9/5/2018 9:10
1293,Demanda real,33019,9/5/2018 9:20
1293,Demanda real,32868,9/5/2018 9:30
1293,Demanda real,33207,9/5/2018 9:40
1293,Demanda real,33334,9/5/2018 9:50
1293,Demanda real,33647,9/5/2018 10:00
1293,Demanda real,33842,9/5/2018 10:10
1293,Demanda real,33799,9/5/2018 10:20
1293,Demanda real,34228,9/5/2018 10:30
1293,Demanda real,34457,9/5/2018 10:40
1293,Demanda real,34625,9/5/2018 10:50
1293,Demanda real,34494,9/5/2018 11:00
1293,Demanda real,34842,9/5/2018 11:10
1293,Demanda real,34947,9/5/2018 11:20
1293,Demanda real,34790,9/5/2018 11:30
1293,Demanda real,35131,9/5/2018 11:40
1293,Demanda real,35130,9/5/2018 11:50
1293,Demanda real,35172,9/5/2018 12:00
1293,Demanda real,35313,9/5/2018 12:10
1293,Demanda real,35376,9/5/2018 12:20
1293,Demanda real,35433,9/5/2018 12:30
1293,Demanda real,35780,9/5/2018 12:40
1293,Demanda real,35892,9/5/2018 12:50
1293,Demanda real,36039,9/5/2018 13:00
1293,Demanda real,36073,9/5/2018 13:10
1293,Demanda real,35748,9/5/2018 13:20
1293,Demanda real,36097,9/5/2018 13:30
1293,Demanda real,36154,9/5/2018 13:40
1293,Demanda real,35900,9/5/2018 13:50
1293,Demanda real,35899,9/5/2018 14:00
1293,Demanda real,35577,9/5/2018 14:10
1293,Demanda real,35175,9/5/2018 14:20
1293,Demanda real,35113,9/5/2018 14:30
1293,Demanda real,35203,9/5/2018 14:40
1293,Demanda real,35011,9/5/2018 14:50
1293,Demanda real,34687,9/5/2018 15:00
1293,Demanda real,34821,9/5/2018 15:10
1293,Demanda real,34751,9/5/2018 15:20
1293,Demanda real,34576,9/5/2018 15:30
1293,Demanda real,34311,9/5/2018 15:40
